"Genotype","Year","Experiment","Dpi","Phenotype"
456033,2015,2,5,1
456034,2015,2,5,3.5
456035,2015,2,5,1.333333333
456037,2015,2,5,1
456038,2015,2,5,1
456039,2015,2,5,1.5
456040,2015,2,5,1.333333333
456041,2015,2,5,1
456042,2015,2,5,1.571428571
456044,2015,2,5,1
456045,2015,2,5,1
456046,2015,2,5,1
456047,2015,2,5,1.5
456048,2015,2,5,2.714285714
456049,2015,2,5,2.2
456050,2015,2,5,1.714285714
456052,2015,2,5,1.714285714
456053,2015,2,5,1.166666667
456054,2015,2,5,1.571428571
456056,2015,2,5,1
456057,2015,2,5,1
456058,2015,2,5,1.125
456059,2015,2,5,2
456060,2015,2,5,1.5
456062,2015,2,5,1
456063,2015,2,5,1.8
456064,2015,2,5,1.666666667
456065,2015,2,5,NA
456067,2015,2,5,2.4
456068,2015,2,5,1.857142857
456069,2015,2,5,1
456070,2015,2,5,1
456071,2015,2,5,2.142857143
456072,2015,2,5,2.285714286
456073,2015,2,5,1.5
456074,2015,2,5,1
456075,2015,2,5,4.333333333
456076,2015,2,5,2
456077,2015,2,5,2.625
456078,2015,2,5,1.666666667
456079,2015,2,5,1.75
456080,2015,2,5,1.333333333
456082,2015,2,5,2
456084,2015,2,5,1
456085,2015,2,5,1.714285714
456087,2015,2,5,1.5
456088,2015,2,5,1.2
456089,2015,2,5,1
456090,2015,2,5,1
456091,2015,2,5,1
456092,2015,2,5,NA
456093,2015,2,5,1.5
456094,2015,2,5,2.333333333
456095,2015,2,5,1.5
456101,2015,2,5,1.666666667
456102,2015,2,5,2.5
456103,2015,2,5,1.8
456105,2015,2,5,1.857142857
456106,2015,2,5,1.5
456107,2015,2,5,2.571428571
456109,2015,2,5,3
456110,2015,2,5,3.857142857
457002,2015,2,5,2.5
457003,2015,2,5,2.142857143
457004,2015,2,5,2.2
457005,2015,2,5,1
457006,2015,2,5,2.571428571
457007,2015,2,5,NA
457008,2015,2,5,1.142857143
457009,2015,2,5,2.142857143
457010,2015,2,5,1.25
457011,2015,2,5,1.375
457012,2015,2,5,2.571428571
457013,2015,2,5,3.75
457014,2015,2,5,1.857142857
457015,2015,2,5,1.5
457017,2015,2,5,1.166666667
457018,2015,2,5,1
457019,2015,2,5,2.285714286
457020,2015,2,5,3
457021,2015,2,5,3
457022,2015,2,5,1.25
457023,2015,2,5,2
457024,2015,2,5,2
457025,2015,2,5,2.142857143
457026,2015,2,5,2
457027,2015,2,5,2.142857143
457028,2015,2,5,1
457029,2015,2,5,2.25
457030,2015,2,5,1
457032,2015,2,5,1.666666667
457033,2015,2,5,1.833333333
457034,2015,2,5,2.285714286
457035,2015,2,5,1
457036,2015,2,5,3
457037,2015,2,5,2
457038,2015,2,5,2.428571429
457039,2015,2,5,3.285714286
457040,2015,2,5,2.285714286
457041,2015,2,5,2
457042,2015,2,5,2.142857143
457043,2015,2,5,1.125
457044,2015,2,5,2.5
457045,2015,2,5,2.285714286
457051,2015,2,5,1
457052,2015,2,5,1.875
457053,2015,2,5,1
457055,2015,2,5,2.714285714
457056,2015,2,5,1
457057,2015,2,5,1.142857143
457058,2015,2,5,2.571428571
457059,2015,2,5,1.166666667
455096,2015,2,6,1.666666667
455097,2015,2,6,2.142857143
455098,2015,2,6,1
455099,2015,2,6,1.375
455100,2015,2,6,3.166666667
455102,2015,2,6,1.375
455103,2015,2,6,NA
455104,2015,2,6,1
455105,2015,2,6,1
455106,2015,2,6,1.285714286
455107,2015,2,6,2.5
455108,2015,2,6,1
455109,2015,2,6,1.571428571
455110,2015,2,6,1.125
456001,2015,2,6,3.142857143
456002,2015,2,6,1.142857143
456003,2015,2,6,1.5
456004,2015,2,6,2.142857143
456005,2015,2,6,2.75
456007,2015,2,6,1
456008,2015,2,6,1.75
456009,2015,2,6,1.142857143
456010,2015,2,6,1.125
456011,2015,2,6,1
456012,2015,2,6,1
456013,2015,2,6,1.285714286
456014,2015,2,6,1
456015,2015,2,6,4
456016,2015,2,6,1.857142857
456017,2015,2,6,1.5
456018,2015,2,6,1.125
456019,2015,2,6,2.714285714
456020,2015,2,6,1.166666667
456022,2015,2,6,1.166666667
456023,2015,2,6,3.8
456024,2015,2,6,1
456025,2015,2,6,1.285714286
456026,2015,2,6,1
456027,2015,2,6,2.25
456028,2015,2,6,1
456029,2015,2,6,1
456030,2015,2,6,2
456031,2015,2,6,1.142857143
456032,2015,2,6,1.75
456033,2015,2,6,1.166666667
456034,2015,2,6,3.666666667
456035,2015,2,6,1.166666667
456037,2015,2,6,1.25
456038,2015,2,6,1
456039,2015,2,6,1.5
456040,2015,2,6,1.666666667
456041,2015,2,6,1
456042,2015,2,6,2.285714286
456044,2015,2,6,1
456045,2015,2,6,1.25
456046,2015,2,6,1
456047,2015,2,6,1.5
